# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=39046&origin=QUIXADA%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2025-09-11,27,2,13.5,464.5,53,13,0
(not set),/selectTrip?originCode=43971&origin=FORTALEZA%20(TA%20MESSEJANA)%20-%20CE&destinationCode=39046&destination=QUIXADA%20-%20CE&departureDate=2025-08-28,27,1,27,327,51,8,0
(not set),/selectTrip?originCode=43971&origin=FORTALEZA%20(TA%20MESSEJANA)%20-%20CE&destinationCode=48576&destination=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2026-03-13,27,1,27,801,59,8,0
(not set),/selectTrip?originCode=47299&origin=BRAGANCA%20PAULISTA%20-%20SP&destinationCode=37443&destination=OURO%20PRETO%20-%20MG&departureDate=2025-07-17,27,1,27,102,53,3,0
(not set),/selectTrip?originCode=48576&origin=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=39024&destination=QUIXERAMOBIM%20-%20CE&departureDate=2025-09-21,27,1,27,684,60,12,0
(not set),/selectTrip?originCode=48679&origin=SOBRAL%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-03-10,27,1,27,509,54,9,0
(not set),/selectTrip?originCode=50039&origin=TERESINA%20-%20PI&destinationCode=48655&destination=LUIS%20CORREIA%20-%20PI&departureDate=2025-09-12,27,1,27,1017,62,10,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=39156&destination=BREJO%20SANTO%20-%20CE&departureDate=2025-10-14,27,0,0,0,67,0,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48569&destination=CRATO%20-%20CE&departureDate=2025-08-17,27,1,27,996,59,11,0
(not set),/selectTrip?originCode=FEIRA%20DE%20SANTANA%20-%20BA&destinationCode=PETROLINA%20-%20PE&departureDate=2025-04-09,27,1,27,551,55,10,0
